25-Aug-22,,,,,,,,,,,,,,,,,,,,,,,
"State and Local Tax Revenue [1], Per Capita [2], Selected Years 1977-2020",,,,,,,,,,,,,,,,,,,,,,,
[Dollars],,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Region and State,1977,1982,1987,1992,1997,2002,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,,,,,,,,,,,,,,,
United States .................................................................................,801    ,"1,150    ","1,671    ","2,195    ","2,720    ","3,145    ","3,448    ","3,714    ","4,038    ","4,260    ","4,372    ","4,180    ","4,134    ","4,314    ","4,422    ","4,596    ","4,682    ","4,859    ","4,939    ","5,075    ","5,397    ","5,644    ","5,616    "
,,,,,,,,,,,,,,,,,,,,,,,
New England.................................................................................,891    ,"1,255    ","1,960    ","2,607    ","3,342    ","3,732    ","4,211    ","4,528    ","4,773    ","5,035    ","5,256    ","5,017    ","5,102    ","5,408    ","5,616    ","5,811    ","5,925    ","6,178    ","6,263    ","6,411    ","6,820    ","7,098    ","7,130    "
Connecticut.................................................................................,891    ,"1,324    ","2,178    ","3,123    ","4,203    ","4,387    ","4,955    ","5,434    ","5,702    ","6,113    ","6,350    ","5,977    ","6,052    ","6,481    ","6,959    ","7,158    ","7,208    ","7,354    ","7,295    ","7,661    ","8,310    ","8,528    ","8,448    "
Maine.................................................................................,649    ,"1,017    ","1,630    ","2,191    ","2,863    ","3,509    ","3,890    ","4,090    ","4,255    ","4,331    ","4,466    ","4,376    ","4,387    ","4,539    ","4,621    ","4,735    ","4,787    ","5,039    ","5,171    ","5,244    ","5,500    ","6,092    ","6,420    "
Massachusetts.................................................................................,"1,009    ","1,343    ","2,058    ","2,555    ","3,290    ","3,710    ","4,188    ","4,459    ","4,738    ","4,994    ","5,279    ","4,971    ","5,081    ","5,419    ","5,562    ","5,747    ","5,957    ","6,268    ","6,400    ","6,476    ","6,865    ","7,207    ","7,265    "
New Hampshire.................................................................................,606    ,906    ,"1,408    ","2,240    ","2,346    ","2,832    ","3,136    ","3,311    ","3,443    ","3,613    ","3,771    ","3,825    ","3,950    ","3,989    ","3,989    ","4,446    ","4,288    ","4,624    ","4,773    ","4,921    ","5,291    ","5,142    ","5,131    "
Rhode Island.................................................................................,775    ,"1,214    ","1,711    ","2,318    ","2,954    ","3,398    ","3,924    ","4,225    ","4,413    ","4,527    ","4,623    ","4,539    ","4,579    ","4,794    ","4,995    ","5,045    ","5,094    ","5,285    ","5,417    ","5,469    ","5,530    ","5,741    ","5,732    "
Vermont.................................................................................,791    ,"1,098    ","1,828    ","2,322    ","2,746    ","3,195    ","3,699    ","4,161    ","4,441    ","4,711    ","4,698    ","4,715    ","4,718    ","5,006    ","5,086    ","5,243    ","5,542    ","5,710    ","5,833    ","5,866    ","6,169    ","6,492    ","6,450    "
,,,,,,,,,,,,,,,,,,,,,,,
