,state,county,population,buildvalue,agrivalue,area,risk_score,risk_rating,risk_npctl,risk_spctl,resl_score,resl_ratng,resl_npctl,resl_spctl,resl_value,drgt_evnts,drgt_afreq,drgt_risks,hrcn_evnts,hrcn_afreq,hrcn_risks,storm_evnts,storm_afreq,storm_risks,full_state,revenue_per_person,state_funding
0,AL,Autauga,54571,5075584000.0,21460000.0,594.4483121966857,5.74877740065178,Very Low,16.35900700190961,5.970149253731343,55.5298,Relatively High,61.83959261616805,91.04477611940298,2.77649,651.0,31.94394880100792,4.191693529533375,8.0,0.056426184756458,2.946096956632241,1775.0,65.74074074074075,7.631697269970926,Alabama,3756,204968676
1,AL,Baldwin,182265,23142949000.0,120383000.0,1589.815852738394,13.557904620457986,Relatively Moderate,79.34436664544877,82.08955223880598,54.759202,Relatively Moderate,51.17759388924252,74.6268656716418,2.7379601,434.0,18.006074576644384,12.636110007028249,44.0,0.208845412419681,12.704111890210738,2934.0,108.66666666666667,23.224605591839293,Alabama,3756,684587340
2,AL,Barbour,27457,2206426000.0,105565000.0,885.0016359709122,9.4196394570524,Relatively Low,52.95989815404201,41.7910447761194,50.781998,Relatively Low,9.420751113940163,13.432835820895525,2.5390999,1043.0,53.43991452286568,18.092327786747493,13.0,0.073180113907034,7.311136205005244,1687.0,62.48148148148148,12.471688756809119,Alabama,3756,103128492
3,AL,Bibb,22915,1643641000.0,4199000.0,622.4604254258261,4.34631394853192,Very Low,7.192870782940802,1.492537313432836,51.8076,Relatively Low,16.995544239338003,32.83582089552239,2.59038,714.0,36.98939852368824,2.374610291259284,7.0,0.043792323324705,1.884829636823729,1911.0,70.77777777777777,5.382791287803499,Alabama,3756,86068740
4,AL,Blount,57322,4794278000.0,242855000.0,644.8210215954298,9.362944865505217,Relatively Low,52.54614894971356,40.298507462686565,53.357400000000005,Relatively Moderate,33.76830044557607,55.223880597014926,2.66787,665.0,34.51729022980461,11.94150320360612,2.0,0.012191639551067,5.013860312268234,2081.0,77.07407407407408,13.540158141093913,Alabama,3756,215301432
5,AL,Bullock,10914,752991000.0,0.0,622.8053708831358,5.650481915009467,Very Low,15.626989178866962,4.477611940298507,49.7898,Very Low,4.9013367281986,5.970149253731343,2.48949,1022.0,52.60423861184099,0.0,12.0,0.069793032627314,2.324743410584149,1630.0,60.370370370370374,10.20872275195905,Alabama,3756,40992984
6,AL,Butler,20947,1750615000.0,132029000.0,776.8316093047157,13.801388325542518,Relatively Moderate,80.23551877784851,85.07462686567165,52.902598,Relatively Low,28.325907065563328,44.776119402985074,2.6451299,567.0,25.255538129754825,26.70381263932692,9.0,0.071139048613779,14.28059267496332,1935.0,71.66666666666667,18.549560883576824,Alabama,3756,78676932
7,AL,Calhoun,118572,11487148000.0,86807000.0,605.8882770039564,16.60768730650263,Relatively Moderate,88.63781031190324,92.5373134328358,54.9294,Relatively Moderate,53.30999363462763,77.61194029850746,2.74647,672.0,35.93885835669925,10.768308016986824,1.0,0.014821876577557,5.081476894112738,2024.0,74.96296296296296,16.448781853475218,Alabama,3756,445356432
8,AL,Chambers,34215,3180368000.0,9059000.0,596.5311120224442,8.371430920833784,Relatively Low,43.093570973901976,23.880597014925367,53.372202,Relatively Moderate,33.92743475493316,56.71641791044776,2.6686101,1428.0,72.37087868377311,7.185786757580901,12.0,0.068116107925725,4.52996498993414,1397.0,51.74074074074074,11.968981764903893,Alabama,3756,128511540
9,AL,Cherokee,25989,2806318000.0,152078000.0,553.758589990806,9.17707250669178,Relatively Low,50.668364099299815,35.82089552238806,51.3446,Relatively Low,13.144493952896244,23.880597014925367,2.56723,784.0,37.55215108687434,11.37528999586664,1.0,0.00598427734052,3.994752319060548,1805.0,66.85185185185185,10.201971389734132,Alabama,3756,97614684
